City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,manjeshvar,12.7,74.8833,29.66,64,46,0.76,IN,1712807325
142,ahraura,25.0167,83.0167,34.35,25,4,3.5,IN,1712807326
143,pierre,44.3683,-100.351,7.51,70,100,9.26,US,1712807327
144,dudinka,69.4058,86.1778,-26.29,98,96,1.34,RU,1712807101
145,anadyr,64.75,177.4833,-7.72,72,40,10.0,RU,1712807329
146,nova xavantina,-14.6667,-52.35,22.95,95,99,0.76,BR,1712807330
147,peshawar,34.008,71.5785,22.08,53,20,2.06,PK,1712807331
148,soe,-9.8607,124.284,25.71,60,89,2.63,ID,1712807332
149,santana,-0.0583,-51.1817,27.1,89,20,2.57,BR,1712807223
150,mabaruma,8.2,-59.7833,25.25,82,7,1.29,GY,1712807117
151,corinto,37.9407,22.9573,17.91,62,83,0.49,GR,1712807335
152,inirida,3.8653,-67.9239,26.15,78,6,0.73,CO,1712807337
153,amlapura,-8.45,115.6167,27.31,83,91,1.6,ID,1712807338
154,fale old settlement,-9.3852,-171.2468,30.21,73,38,3.41,TK,1712807339
155,fort bragg,35.139,-79.006,20.11,78,20,3.09,US,1712807069
156,chifeng,42.2683,118.9636,21.84,19,0,1.85,CN,1712807342
157,warmbad,-28.45,18.7333,18.02,43,0,3.84,NA,1712807343
158,cabo san lucas,22.8909,-109.9124,22.09,42,0,3.13,MX,1712806741
159,tual,-5.6667,132.75,28.59,68,74,2.76,ID,1712807345
160,brak,27.5496,14.2714,19.18,20,100,7.29,LY,1712807347
161,wailua homesteads,22.0669,-159.378,26.24,84,100,5.66,US,1712807348
162,sitka,57.0531,-135.33,2.94,87,100,1.54,US,1712807171
163,nuuk,64.1835,-51.7216,-2.66,93,100,0.51,GL,1712807102
164,codrington,-38.2667,141.9667,15.47,61,100,4.45,AU,1712807351
165,halmstad,56.6745,12.8568,7.79,81,75,5.66,SE,1712807352
166,kish,26.5578,54.0194,26.15,73,100,4.12,IR,1712807353
167,mikomeseng,2.1361,10.6132,21.46,99,99,0.35,GQ,1712807355
168,st. john's,47.5649,-52.7093,0.52,94,100,4.63,CA,1712807086
169,prince rupert,54.3161,-130.3201,7.83,85,100,6.69,CA,1712807357
170,la crosse,43.8014,-91.2396,15.07,57,0,2.57,US,1712807120
171,kroya,-7.6331,109.2461,29.64,73,100,2.26,ID,1712807359
172,nar'yan-mar,67.6713,53.087,-5.47,94,100,11.18,RU,1712807139
173,ghat,24.9647,10.1728,23.86,25,83,4.18,LY,1712807362
174,khorugh,37.4897,71.553,-0.46,81,64,0.53,TJ,1712807363
175,rawai,7.7797,98.3253,33.06,65,100,6.61,TH,1712807364
176,pariaman,-0.619,100.12,31.03,62,96,2.07,ID,1712807366
177,vikulovo,56.8167,70.6107,-0.72,58,55,2.23,RU,1712807367
178,bredasdorp,-34.5322,20.0403,14.54,67,28,5.63,ZA,1712807368
179,belyy yar,53.6039,91.3903,4.94,75,75,6.0,RU,1712807370
180,benguela,-12.5763,13.4055,24.47,87,95,0.76,AO,1712807371
181,thief river falls,48.1191,-96.1812,7.96,71,0,3.09,US,1712807372
182,carnarvon,-24.8667,113.6333,24.64,53,24,10.16,AU,1712807158
183,strezhevoy,60.7333,77.5889,-13.91,80,40,2.24,RU,1712807374
184,semenivka,52.1783,32.5818,13.76,67,71,2.76,UA,1712807376
185,hodos,46.8233,16.3342,11.03,67,100,4.16,SI,1712807377
186,reyes,-14.3167,-67.3833,24.13,91,64,1.01,BO,1712807378
187,colonia,50.9333,6.95,10.72,73,0,3.6,DE,1712807379
188,lufkin,31.3382,-94.7291,15.95,85,100,5.66,US,1712807380
189,butte,39.6499,-121.5677,22.01,49,0,0.0,US,1712807383
190,unai,-16.3575,-46.9061,21.59,93,33,0.38,BR,1712807384
191,constantia,44.1833,28.65,11.5,59,0,4.12,RO,1712807385
192,saint-philippe,-21.3585,55.7679,24.77,79,75,4.13,RE,1712807386
193,moyynkum,44.2914,72.9469,15.13,44,11,1.12,KZ,1712807387
194,iskateley,67.6803,53.1512,-5.49,94,100,11.17,RU,1712807388
195,port lincoln,-34.7333,135.8667,16.59,63,99,3.46,AU,1712807167
196,kudymkar,59.0173,54.656,3.37,84,98,2.95,RU,1712807390
197,lerwick,60.1545,-1.1494,9.0,94,100,14.63,GB,1712807219
198,okny,47.5404,29.46,15.27,56,0,2.28,UA,1712807392
199,shitanjing,39.2342,106.3439,20.25,10,4,4.01,CN,1712807394
200,manacapuru,-3.2997,-60.6206,25.73,92,85,2.12,BR,1712807322
201,saipan,15.1355,145.701,31.39,62,40,7.2,MP,1712807396
202,port hedland,-20.3167,118.5667,32.03,35,6,5.66,AU,1712807397
203,kerikeri,-35.2268,173.9474,20.51,93,100,7.48,NZ,1712807398
204,dzuunharaa,48.8523,106.4579,12.87,37,12,3.19,MN,1712807399
205,hitachi,36.6,140.65,16.48,60,57,4.46,JP,1712807400
206,mar del plata,-38.0023,-57.5575,14.49,68,75,5.81,AR,1712806741
207,orita eruwa,7.55,3.4333,25.45,88,91,1.19,NG,1712807402
208,prainha,-1.8,-53.48,24.07,96,94,1.24,BR,1712807404
